,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
APA UW Equity,8,-0.682197229,-0.682197229,-0.682197229,0.418612806,0.418612806,0.418612806,-0.012144211,-0.012144211,-0.012144211,0.016030255,0.016030255,0.016030255,-0.151763338,-0.151763338,-0.151763338,0.0070065,0.0070065,0.0070065,-0.004851375,-0.004851375,-0.004851375,0.001557157,0.001557157,0.001557157,0.037525244,0.037525244,0.037525244,-0.178132128,-0.178132128,-0.178132128,-0.040266342,-0.040266342,-0.040266342,-0.111337712,-0.111337712,-0.111337712,-0.258059395,-0.258059395,-0.258059395,-0.261928706,-0.261928706,-0.261928706,-0.421293804,-0.421293804,-0.421293804,-0.33384055,-0.33384055,-0.33384055,-0.508115435,-0.508115435,-0.508115435,-0.405464971,-0.405464971,-0.405464971,-0.563489181,-0.563489181,-0.563489181,-0.518167425,-0.518167425,-0.518167425,-0.513890597,-0.513890597,-0.513890597,-0.714959695,-0.714959695,-0.714959695,-0.779271691,-0.779271691,-0.779271691,-0.687927747,-0.687927747,-0.687927747
EOG UN Equity,8,-0.119902396,-0.119902396,-0.119902396,-0.178822533,-0.178822533,-0.178822533,-0.387606527,-0.387606527,-0.387606527,-0.360248747,-0.360248747,-0.360248747,-0.32194902,-0.32194902,-0.32194902,-0.294108006,-0.294108006,-0.294108006,-0.146768207,-0.146768207,-0.146768207,0.041526883,0.041526883,0.041526883,-2.79E-05,-2.79E-05,-2.79E-05,-0.155365694,-0.155365694,-0.155365694,-0.352396071,-0.352396071,-0.352396071,-0.419661088,-0.419661088,-0.419661088,-0.416933653,-0.416933653,-0.416933653,-0.440773132,-0.440773132,-0.440773132,-0.402296315,-0.402296315,-0.402296315,-0.234312907,-0.234312907,-0.234312907,-0.377413113,-0.377413113,-0.377413113,-0.384983018,-0.384983018,-0.384983018,-0.290771264,-0.290771264,-0.290771264,-0.188081644,-0.188081644,-0.188081644,-0.013944456,-0.013944456,-0.013944456,0.302576838,0.302576838,0.302576838,0.242990899,0.242990899,0.242990899,0.259591571,0.259591571,0.259591571
KMI UN Equity,8,-0.685245133,-0.685245133,-0.685245133,-0.717966926,-0.717966926,-0.717966926,-0.700320089,-0.700320089,-0.700320089,-0.677263104,-0.677263104,-0.677263104,-0.6614543,-0.6614543,-0.6614543,-0.710377414,-0.710377414,-0.710377414,-0.662408803,-0.662408803,-0.662408803,-0.599606551,-0.599606551,-0.599606551,-0.654085915,-0.654085915,-0.654085915,-0.629208708,-0.629208708,-0.629208708,-0.612619526,-0.612619526,-0.612619526,-0.655469385,-0.655469385,-0.655469385,-0.632364195,-0.632364195,-0.632364195,-0.618077456,-0.618077456,-0.618077456,-0.063606698,-0.063606698,-0.063606698,-0.216294971,-0.216294971,-0.216294971,-0.604901331,-0.604901331,-0.604901331,-0.61342777,-0.61342777,-0.61342777,-0.613774716,-0.613774716,-0.613774716,-0.430779596,-0.430779596,-0.430779596,-0.672562593,-0.672562593,-0.672562593,-0.693297525,-0.693297525,-0.693297525,-0.748304387,-0.748304387,-0.748304387,-0.646882673,-0.646882673,-0.646882673
BKR UN Equity,8,-0.343879833,-0.343879833,-0.343879833,-0.147709038,-0.147709038,-0.147709038,-0.071708699,-0.071708699,-0.071708699,0.054135643,0.054135643,0.054135643,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.520333262,-0.520333262,-0.520333262,-0.050813125,-0.050813125,-0.050813125,0.792586088,0.792586088,0.792586088,-0.214844444,-0.214844444,-0.214844444,-0.011607096,-0.011607096,-0.011607096,-0.058313304,-0.058313304,-0.058313304,-0.122549411,-0.122549411,-0.122549411,-0.12970213,-0.12970213,-0.12970213,-0.239139139,-0.239139139,-0.239139139,-0.299446696,-0.299446696,-0.299446696,-0.310964079,-0.310964079,-0.310964079,-0.344503791,-0.344503791,-0.344503791,-0.320198789,-0.320198789,-0.320198789,-0.421834968,-0.421834968,-0.421834968,-0.410420807,-0.410420807,-0.410420807,-0.478137428,-0.478137428,-0.478137428,-0.434567698,-0.434567698,-0.434567698
MPC UN Equity,8,-0.501674201,-0.501674201,-0.501674201,-0.53943919,-0.53943919,-0.53943919,-0.478358082,-0.478358082,-0.478358082,-0.563695941,-0.563695941,-0.563695941,-0.64828981,-0.64828981,-0.64828981,-0.485514127,-0.485514127,-0.485514127,-0.612648211,-0.612648211,-0.612648211,-0.591422274,-0.591422274,-0.591422274,-0.415162308,-0.415162308,-0.415162308,-0.502000152,-0.502000152,-0.502000152,-0.451969607,-0.451969607,-0.451969607,-0.436402224,-0.436402224,-0.436402224,-0.169580641,-0.169580641,-0.169580641,-0.171255159,-0.171255159,-0.171255159,-0.174425386,-0.174425386,-0.174425386,-0.544907793,-0.544907793,-0.544907793,-0.590631615,-0.590631615,-0.590631615,-0.566684304,-0.566684304,-0.566684304,-0.548788773,-0.548788773,-0.548788773,-0.570972866,-0.570972866,-0.570972866,-0.607563127,-0.607563127,-0.607563127,-0.699444897,-0.699444897,-0.699444897,-0.863293273,-0.863293273,-0.863293273,-0.904098471,-0.904098471,-0.904098471
HAL UN Equity,8,-0.320367427,-0.320367427,-0.320367427,-0.224743053,-0.224743053,-0.224743053,-0.358011592,-0.358011592,-0.358011592,1.037760224,1.037760224,1.037760224,0.425049204,0.425049204,0.425049204,-0.061950278,-0.061950278,-0.061950278,0.137065456,0.137065456,0.137065456,0.238806029,0.238806029,0.238806029,-0.198230109,-0.198230109,-0.198230109,-0.226322556,-0.226322556,-0.226322556,-0.33128752,-0.33128752,-0.33128752,-0.263350805,-0.263350805,-0.263350805,-0.249386816,-0.249386816,-0.249386816,-0.278677323,-0.278677323,-0.278677323,-0.276240056,-0.276240056,-0.276240056,-0.233240411,-0.233240411,-0.233240411,-0.367796566,-0.367796566,-0.367796566,-0.410940344,-0.410940344,-0.410940344,-0.31013525,-0.31013525,-0.31013525,-0.174724974,-0.174724974,-0.174724974,-0.446304087,-0.446304087,-0.446304087,-0.360266053,-0.360266053,-0.360266053,-0.298936925,-0.298936925,-0.298936925,-0.216033773,-0.216033773,-0.216033773
FANG UW Equity,8,-0.568815183,-0.568815183,-0.568815183,-0.447973011,-0.447973011,-0.447973011,-0.522375864,-0.522375864,-0.522375864,-0.596839202,-0.596839202,-0.596839202,1.218123144,1.218123144,1.218123144,0.764655726,0.764655726,0.764655726,0.184182222,0.184182222,0.184182222,5.119199099,5.119199099,5.119199099,-0.566306649,-0.566306649,-0.566306649,-0.646660021,-0.646660021,-0.646660021,-0.625596094,-0.625596094,-0.625596094,-0.519391704,-0.519391704,-0.519391704,-0.572301975,-0.572301975,-0.572301975,-0.515756882,-0.515756882,-0.515756882,0.009810683,0.009810683,0.009810683,-0.456105112,-0.456105112,-0.456105112,-0.533345946,-0.533345946,-0.533345946,-0.37139598,-0.37139598,-0.37139598,-0.563691946,-0.563691946,-0.563691946,-0.555234774,-0.555234774,-0.555234774,-0.621037311,-0.621037311,-0.621037311,-0.745013517,-0.745013517,-0.745013517,-0.827430403,-0.827430403,-0.827430403,-0.83245616,-0.83245616,-0.83245616
IRM UN Equity,9,-0.573953079,-0.573953079,-0.573953079,-0.595574683,-0.595574683,-0.595574683,-0.220526265,-0.220526265,-0.220526265,-0.587195824,-0.587195824,-0.587195824,-0.559429499,-0.559429499,-0.559429499,-0.50233997,-0.50233997,-0.50233997,-0.295766716,-0.295766716,-0.295766716,-0.494448106,-0.494448106,-0.494448106,-0.515055485,-0.515055485,-0.515055485,-0.517236831,-0.517236831,-0.517236831,-0.450931482,-0.450931482,-0.450931482,-0.070693457,-0.070693457,-0.070693457,-0.350782176,-0.350782176,-0.350782176,-0.524323704,-0.524323704,-0.524323704,-0.530331478,-0.530331478,-0.530331478,-0.56271123,-0.56271123,-0.56271123,-0.540273996,-0.540273996,-0.540273996,-0.549953995,-0.549953995,-0.549953995,-0.546051456,-0.546051456,-0.546051456,-0.553267512,-0.553267512,-0.553267512,-0.637637507,-0.637637507,-0.637637507,-0.420568851,-0.420568851,-0.420568851,-0.821168632,-0.821168632,-0.821168632,-0.809197284,-0.809197284,-0.809197284
MAA UN Equity,9,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106
AMT UN Equity,9,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106,-0.358858106
