,industry,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
MHK UN Equity,2,0.038550686,-0.012126967,-0.068063891,-0.106909577,-0.132233463,-0.174811799,-0.158873728,-0.216258799,-0.245639687,-0.171452874,-0.131035832,-0.158000076,-0.115338507,-0.076918396,-0.123345621,-0.091545356,-0.092120646,-0.076706298,-0.043628881,-0.088260394,-0.060455864,0.043501136,0.075820334,0.123008833,0.129295447,0.070725936,0.026240456,0.051296149,0.057701736,0.028777225,0.065107762,0.027326288,0.019955152,0.072438912,0.029857032,0.02916491,0.111446353,0.170549402,0.256003804,0.324720602,0.502321432,0.53235886,0.517391538,0.790255797,0.819531409,1.190926505,1.663520286,1.58182911,1.532484519,1.412279673,1.506055523,1.550941975,1.285769484,1.131450445,1.268885421,1.710659822,1.687920647,1.463617552,1.28052031,1.477987029,1.628633726,1.611864169,1.385135825,1.686699631,1.704642525,1.608220034,1.968764145,1.878345209,1.648520453,1.571772035,1.36880583,1.388976175
GPS UN Equity,2,-0.702886761,-0.645742479,-0.657333017,-0.640242999,-0.634347113,-0.626217685,-0.646760943,-0.618042197,-0.596166676,-0.468431425,-0.452731579,-0.427478913,-0.437532011,-0.477641205,-0.531518199,-0.400223041,-0.174415072,-0.194219246,-0.342231836,-0.384750635,-0.298788074,-0.423958708,-0.407783811,-0.268471347,-0.207746877,-0.126857485,-0.119040411,-0.169881529,-0.151139785,-0.038421342,-0.0932757,-0.07438329,-0.253940842,-0.248232533,-0.225380499,-0.392056464,-0.379401093,-0.337603921,-0.336606258,-0.305213112,-0.262574641,-0.32105159,-0.258811788,-0.212980371,-0.094876004,-0.121300877,-0.084697028,-0.147993271,-0.104929619,0.046201213,-0.011005917,0.00806444,0.129074047,0.501370276,0.480867454,0.568917292,0.582469811,0.603170319,0.686261819,0.727494631,0.617039991,0.496042704,0.747690517,1.281663961,0.597885376,0.275084573,0.105240112,-0.074804256,-0.177076903,-0.27553039,-0.302773781,-0.181000142
GPC UN Equity,2,-0.503264933,-0.459602969,-0.443700934,-0.446563454,-0.459574513,-0.442445969,-0.440563483,-0.424581727,-0.432029521,-0.449630873,-0.47269891,-0.456771815,-0.469506858,-0.523937275,-0.530104642,-0.509559155,-0.500263248,-0.499561346,-0.512004167,-0.511130912,-0.495938315,-0.475495606,-0.454688103,-0.464475285,-0.485516313,-0.467419664,-0.416601037,-0.391226446,-0.386299975,-0.373594302,-0.294419212,-0.28026977,-0.324681042,-0.350144399,-0.272613546,-0.323140241,-0.393361291,-0.385102171,-0.308272411,-0.303800237,-0.313148015,-0.323517162,-0.337145331,-0.364996848,-0.370410605,-0.391375355,-0.426038012,-0.45541329,-0.481925748,-0.504609272,-0.508404769,-0.488446971,-0.419551699,-0.438037204,-0.40303519,-0.332557444,-0.359894652,-0.397478268,-0.416020768,-0.399777491,-0.36104514,-0.330014528,-0.347775723,-0.365443666,-0.375280393,-0.4024326,-0.496186435,-0.506462948,-0.517761732,-0.491960291,-0.468871463,-0.443873953
MAR UW Equity,2,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.485225803,-0.518949111,-0.592637252,-0.652473118,-0.704419726,-0.712607593,-0.717376935,-0.76091014,-0.801076503,-0.797214239,-0.841320264,-0.835913411,-0.831538505,-0.915354603,-0.936346406,-0.96356157,-1.08120878,-1.090087951,-1.071906017,-1.097856704,-1.08808124,-1.060424715,-1.113292282,-1.090634709,-1.079670744,-1.121729009,-1.124894927,-1.090646316,-1.127718688,-1.111697669,-1.094762163,-1.146829181,-1.114918049,-1.106950478,-1.162246008,-1.109028573,-1.116425625,-1.135721561,-1.147514755,-1.148049811,-1.168841902,-1.135654916,-0.976283219,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.95607379,-0.961596396,-1.010431346,-1.04151014
ETSY UW Equity,2,-0.299207673,-0.299207673,-0.299207673,-1.085355427,-1.056954325,-0.98101382,-0.704701992,-0.619327045,-0.609990201,-0.468687493,-0.209944917,-0.214281978,-0.101303132,-0.088540194,-0.197861906,-0.153561971,-0.139180135,-0.239587654,-0.250088027,-0.508607945,-0.533632536,-0.567321565,-0.432066396,-0.406047137,-0.428208318,-0.409782906,-0.170865549,-0.392953435,-0.506623278,-0.597797358,-0.646683616,-0.680810122,-0.711865188,-0.642093405,-0.643687176,-0.746056638,-0.668362223,-0.707282001,-0.877590344,-0.953676589,-0.952864338,-1.020173173,-1.076068648,-1.082436974,-1.078767627,-1.052502251,-1.082415566,-1.085343302,-1.116481939,-1.095783185,-1.107605558,-1.088500922,-1.055189919,-1.045093952,-1.06246644,-0.992039427,-0.992618097,-1.017673957,-0.952570572,-0.94764553,-0.978620422,-0.97351843,-0.877299632,-0.876262085,-0.918201538,-0.952820724,-0.908894568,-0.916859326,-0.886712969,-0.892391479,-0.924055252,-0.969413036
ROST UW Equity,2,-0.875436279,-0.85746716,-0.888622866,-0.874695321,-0.864920162,-0.858194677,-0.9148807,-0.889924529,-0.869435443,-0.855589712,-0.850250578,-0.868167853,-0.896321278,-0.867715457,-0.86995321,-0.861072112,-0.841634513,-0.824948548,-0.831970072,-0.85356231,-0.868193668,-0.908475953,-0.928040839,-0.951590926,-0.958013639,-0.940136151,-0.916174503,-0.907121089,-0.881346465,-0.840214104,-0.835386118,-0.832866211,-0.841717195,-0.885196532,-0.896647074,-0.951588047,-0.9937562,-0.960724553,-0.938406639,-0.98242136,-0.970084239,-0.962216291,-0.976518802,-0.981885791,-0.978735704,-1.006955831,-0.996281243,-0.940307137,-1.005361703,-0.961683459,-0.934075454,-0.948308413,-0.924370917,-0.927575092,-0.959484575,-0.928014308,-0.934437413,-0.94024209,-0.941345201,-0.938547125,-0.955326323,-0.930520095,-0.808611946,-0.785232403,-0.830171557,-0.844722797,-0.794988324,-0.790764291,-0.775848725,-0.782745355,-0.815602236,-0.847401783
SBUX UW Equity,2,-0.942829991,-0.964094909,-0.968177446,-0.961682285,-0.988962965,-1.002969777,-1.056957687,-1.031831544,-1.026901479,-1.028045723,-1.033315258,-1.00666036,-1.015701323,-0.981737267,-0.99168437,-1.012518604,-1.005587519,-0.988805976,-0.954204491,-0.968639198,-0.976868602,-1.000536312,-1.034105835,-1.064300795,-1.0898237,-1.072244912,-1.054557746,-1.08189723,-1.075200227,-1.060658791,-1.077841845,-1.050470374,-1.020818476,-1.0684599,-1.068233755,-1.078382477,-1.089937257,-1.080939297,-1.0799923,-1.165612075,-1.143353092,-1.105460819,-1.134531057,-1.132148081,-1.142372944,-1.283646143,-1.290302396,-1.253682627,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673,-0.299207673
LEG UN Equity,2,-0.60262527,-0.590933039,-0.607850684,-0.61241131,-0.652324084,-0.67572453,-0.72809509,-0.687432415,-0.655798613,-0.645584439,-0.666931915,-0.638541754,-0.634849294,-0.660902659,-0.677572923,-0.677765423,-0.692472916,-0.691957536,-0.699308818,-0.702307058,-0.68212946,-0.654143881,-0.686234675,-0.69852825,-0.686627756,-0.678940477,-0.67867215,-0.724760984,-0.716815349,-0.703443886,-0.700408925,-0.62311031,-0.58899974,-0.605196,-0.564725783,-0.558643199,-0.563805656,-0.541274019,-0.541148706,-0.54491674,-0.492222461,-0.517392605,-0.582135456,-0.559656612,-0.560573619,-0.477189167,-0.45497439,-0.484459829,-0.535942835,-0.588111955,-0.557962081,-0.517826898,-0.439367825,-0.423790681,-0.425365874,-0.428968102,-0.448338378,-0.499009199,-0.614664187,-0.579489068,-0.546397099,-0.465806982,-0.392223707,-0.364846989,-0.357552883,-0.394592571,-0.434796367,-0.464599655,-0.488286944,-0.466415865,-0.426983178,-0.391361218
LEN UN Equity,2,0.54234335,0.435442788,0.446457537,0.464627135,0.555024184,0.576531337,0.394920225,0.351572863,0.318181508,0.360423167,0.407076949,0.445117324,0.557610736,0.610136192,0.55096361,0.543130019,0.663166426,0.657809158,0.573613101,0.691736218,0.857887172,0.982953,1.038128171,1.23068485,1.265504437,1.218875689,0.98682473,0.958197469,0.989951069,0.996998972,0.962547299,0.948909194,1.069264002,0.90508093,0.823038715,0.834446375,0.706858667,0.926846571,1.426188576,1.47647728,1.711193528,1.832059855,1.776405686,1.912247165,2.06542,2.412781069,2.419301605,2.421010552,2.204798002,2.071003569,2.070282656,1.885104114,1.701842905,1.799195653,2.142525223,1.734803713,1.739589933,1.366176305,1.513763037,1.756481093,1.517693647,1.196125235,1.168842325,1.35700121,0.930191149,1.043164898,0.760488741,0.637751802,0.624868374,0.580853926,0.864362323,1.11702532
ORLY UW Equity,2,-0.897326043,-0.917112326,-0.923619827,-0.91089849,-0.930009349,-0.938339854,-1.010164869,-0.99569383,-0.991102834,-0.981789443,-0.994162847,-0.962264186,-0.976096349,-0.957246406,-0.966811314,-0.963650483,-0.961910523,-0.953804529,-0.966071925,-0.991875523,-1.002202878,-1.008594273,-1.027044248,-1.059077962,-1.111606673,-1.092475141,-1.080689691,-1.101784031,-1.078890965,-1.050132438,-1.146883792,-1.150549048,-1.124467887,-1.210306947,-1.204942897,-1.228943524,-1.262587542,-1.258262298,-1.240888731,-1.314177094,-1.307608574,-1.283134149,-1.302885134,-1.299861365,-1.275254076,-1.272878394,-1.273483689,-1.240323657,-1.291899853,-1.26380491,-1.236693851,-1.231058073,-1.193735574,-1.185388493,-1.237129435,-1.183956204,-1.194748597,-1.185361113,-1.194349059,-1.189370885,-1.178305526,-1.142151131,-0.994666931,-0.985040149,-1.002948112,-1.039681389,-0.959844258,-0.956737926,-0.934401345,-0.930029952,-0.970300918,-1.005089932
